ISO 3166-1 alpha-3,Fixed Broadband Mbps,Mobile Speed Mbps
AFG,3.63,8.48
ALB,62.71,50.82
DZA,14.26,24.9
AND,,
AGO,18.58,
ATG,40.58,
ARG,88.03,34.47
ARM,56.54,32.67
AUS,71.87,97.86
AUT,92.86,83.01
AZE,45.47,55.14
BHS,63.11,
BHR,84.66,113.07
BGD,48.14,27.76
BRB,99.09,
BLR,61.05,11.98
BEL,100.82,81.99
BLZ,44.74,
BEN,22.48,
BTN,,
BOL,42.45,11.26
BIH,30.74,20.56
BWA,8.53,
BRA,170.42,73.08
BRN,77.75,103.08
BGR,77.6,117.64
BFA,45.8,
BDI,,
CPV,10.7,
KHM,45.52,28.7
CMR,9.94,
CAN,188.2,74.87
CAF,,
TCD,,
CHL,265.62,41.44
CHN,189.49,108.37
COL,144.98,18.18
COM,,
COD,38.03,
COG,35.94,
CRI,96.65,37.4
CIV,62.04,
HRV,50.69,76.24
CUB,,
CYP,86.1,73.59
CZE,69.55,85.41
DNK,219.23,130.05
DJI,17.08,
DMA,93.74,
DOM,36.1,32.99
ECU,93.79,28.76
EGY,76.48,25.65
SLV,55.77,32.63
GNQ,,
ERI,,
EST,80.14,88.6
SWZ,,
ETH,9.48,
FJI,26.36,
FIN,114.33,93.59
FRA,223.72,103.08
GAB,41.42,
GMB,,
GEO,34.4,36.9
DEU,90.63,56.69
GHA,37.8,
GRC,47.03,75.05
GRD,,
GTM,52.32,39.73
GIN,9.35,
GNB,,
GUY,90.78,
HTI,41.57,
HND,50.52,32.59
HUN,174.95,54.32
ISL,213.98,
IND,63.79,96.38
IDN,32.06,29.4
IRN,14.81,36.7
IRQ,33.35,32.93
IRL,133.34,41.12
ISR,206.42,42.77
ITA,78.42,53.48
JAM,76.44,
JPN,197.78,47.43
JOR,150.88,28.67
KAZ,58.81,51.25
KEN,11.59,29.49
KIR,,
PRK,,
KOR,157.63,141.23
KWT,188.29,239.83
KGZ,65.44,42.82
LAO,38.8,28.85
LVA,92.62,81.42
LBN,17.38,35.45
LSO,,
LBR,8.9,
LBY,11.1,15.1
LIE,186.36,
LTU,119.59,89.71
LUX,142.05,114.42
MDG,27.41,
MWI,,
MYS,131.03,106.94
MDV,13.27,
MLI,,
MLT,116.51,
MHL,,
MRT,19.3,
MUS,51.61,
MEX,79.31,32.55
FSM,,
MDA,120.73,49.71
MCO,,
MNG,71.45,
MNE,61.13,43.68
MAR,29.57,40.89
MOZ,16.48,
MMR,21.56,32.16
NAM,14.73,27.94
NRU,,
NPL,71.62,
NLD,186.84,133.44
NZL,178.8,78.64
NIC,59.51,21.49
NER,,
NGA,21.59,20.19
MKD,42.26,94.33
NOR,129,128.77
OMN,72.64,82.81
PAK,15.52,19.59
PLW,,
PAN,151.94,21.79
PNG,,
PRY,92.67,19.58
PER,166.89,21.73
PHL,94.43,33.66
POL,154.51,52.62
PRT,172.13,83.64
QAT,173.33,344.34
ROU,200.94,63.12
RUS,88.08,25.44
RWA,30.5,
KNA,,
LCA,94.01,
VCT,,
WSM,,
SMR,94.78,
STP,,
SAU,112.24,122.28
SEN,21.65,
SRB,82.28,56.48
SYC,,
SLE,24.72,
SGP,297.57,114.3
SVK,81.08,54.82
SVN,92.98,69.65
SLB,,
SOM,16.76,
ZAF,47.35,51.96
SSD,,
ESP,205.17,45.74
LKA,22.94,18.96
SDN,,
SUR,12.09,50.02
SWE,138.62,97.24
CHE,203.5,93.66
SYR,3.65,12.79
TJK,29.26,
TZA,18.61,22.85
THA,232.15,54.78
TLS,,
TGO,30.68,
TON,,
TTO,119.78,
TUN,10.58,26.53
TUR,42.9,46.37
TKM,3.53,
TUV,,
UGA,17.09,
UKR,81.84,20.07
ARE,297.62,398.51
GBR,108.61,54.62
USA,242.27,103.26
URY,156.02,
UZB,69.37,36.19
VUT,,
VEN,59.81,13.67
VNM,151.69,56.95
YEM,7.54,7.91
ZMB,18.2,
ZWE,21.81,
